customer_id,order_status,payment_method,region,salesperson,order_date,num_orders,num_customers,total_value_lost,avg_discount_applied,units_affected,avg_order_value_lost
00199efa-f77b-439f-b061-9132e01d8a11,Returned,Gift Card,Australia,Caitlyn Boyd,2019-07-07,1,1,1597.2840959999999,9.76,4,1597.2840959999999
002353f2-a753-407c-bfbc-01e741ebfd13,Pending,Amazon Pay,North America,Adam Smith,2021-11-20,1,1,2343.066624,2.72,9,2343.066624
00412af2-4904-4a21-b72d-7e82f94df7ba,Pending,Debit Card,South America,Michelle Andersen,2023-07-08,1,1,2030.7546559999998,23.96,7,2030.7546559999998
004d41f0-66f9-4fab-8159-a02199ecda80,Returned,PayPal,Europe,Crystal Williams,2022-04-17,1,1,1478.537255,12.51,5,1478.537255
004e7a8d-1c8b-4784-94d0-944d567d92ae,Pending,Credit Card,South America,Emily Matthews,2023-04-02,1,1,1259.559354,0.57,6,1259.559354
0077e1c6-1045-48c4-93ef-9725af7bdb9c,Cancelled,Debit Card,North America,Susan Edwards,2023-09-17,1,1,356.80023,15.67,5,356.80023
0083a777-2a47-485d-860b-323c583098fb,Pending,Amazon Pay,Australia,Jason Nelson,2021-05-22,1,1,3405.1798830000002,1.97,7,3405.1798830000002
00885ae6-3931-4be9-84dc-b66fc90a0b47,Returned,Amazon Pay,Asia,Johnny Marshall,2019-08-08,1,1,1175.9977800000001,23.16,9,1175.9977800000001
008f50c0-8ed3-40d4-a3d0-3ed46f541cd3,Returned,PayPal,North America,Caleb Camacho,2024-04-24,1,1,337.907712,17.76,1,337.907712
00923a77-5bca-4c40-b544-fdc675b0be1e,Returned,Amazon Pay,Australia,Joseph Brooks,2020-06-21,1,1,728.698782,21.18,3,728.698782
0093a899-536a-4761-8d6d-c654d7ab2c52,Cancelled,Debit Card,Australia,Jason Nelson,2024-11-26,1,1,533.86508,5.96,10,533.86508
009b3368-ece4-466b-959b-d863e4a1430e,Cancelled,Amazon Pay,North America,Steven Coleman,2021-08-05,1,1,2559.670416,1.82,9,2559.670416
00c84a9f-b775-408f-8e3a-42b40c3de2a9,Cancelled,Gift Card,Asia,Adam Smith,2024-08-23,1,1,2233.97262,0.52,5,2233.97262
00f05a8d-d3cc-442e-b271-61029ac61567,Pending,PayPal,South America,Joseph Brooks,2022-04-04,1,1,643.431936,5.92,8,643.431936
00feb97d-bde9-4abf-9d0b-9326a5ae6462,Returned,Credit Card,Europe,Diane Andrews,2022-11-23,1,1,1602.071328,15.96,8,1602.071328
012a177c-acf0-4faa-9a2a-312d09ef5f83,Returned,Amazon Pay,North America,Crystal Williams,2019-01-14,1,1,1550.602396,13.22,7,1550.602396
013e4daa-d67d-4b18-9266-4efe35878001,Pending,Credit Card,South America,Mary Scott,2020-09-22,1,1,148.17741600000002,15.77,6,148.17741600000002
015a7619-9ae7-4743-95cf-f975a583bc61,Cancelled,PayPal,Australia,Joseph Brooks,2020-07-24,1,1,449.697396,7.69,2,449.697396
015e6d76-df4f-4668-b645-6671f820e3ab,Returned,Gift Card,Europe,Emily Matthews,2022-07-12,1,1,712.0382970000001,23.37,3,712.0382970000001
01734ad3-f17a-47f8-b176-0dd557fedb12,Returned,Gift Card,Europe,Emily Matthews,2024-05-06,1,1,3593.882592,0.08,9,3593.882592
01803f52-a9de-4df4-92e8-32b402d15e03,Cancelled,PayPal,Australia,Adam Smith,2024-08-31,1,1,724.2744,21.36,2,724.2744
018a95e1-23ed-4513-9673-127dddc8e0b7,Cancelled,Debit Card,North America,Bradley Howe,2022-05-29,1,1,2302.805584,13.47,8,2302.805584
018c7876-aafb-4ea3-bdd0-cdb9da681fa6,Cancelled,Debit Card,North America,Charles Smith,2022-02-04,1,1,339.706512,27.52,3,339.706512
01b45082-a27b-4bc2-ad0c-e62803f3e634,Returned,PayPal,Australia,Susan Edwards,2022-05-03,1,1,143.66352,7.6,2,143.66352
01bee0ee-7af1-414b-b490-335bb4a3a116,Returned,Credit Card,Asia,Sandra Luna,2020-01-30,1,1,1215.513236,26.54,7,1215.513236
01c6de38-a402-4f65-bfb5-0cab5742c3d4,Returned,Amazon Pay,Europe,Crystal Williams,2022-08-05,1,1,2340.7968,18.25,8,2340.7968
01f38c27-e2d8-42a3-a75f-0e32484b5e00,Returned,Debit Card,South America,Michelle Garza,2023-04-22,1,1,2947.4795000000004,12.75,7,2947.4795000000004
020668db-11f2-4a0c-b52b-94402004b965,Cancelled,Credit Card,Europe,Joseph Brooks,2024-05-08,1,1,1354.6435040000001,25.08,4,1354.6435040000001
0223fdac-eb6b-4b74-9174-5b715f03eac1,Returned,PayPal,Asia,Susan Edwards,2019-06-05,1,1,166.97436,28.46,5,166.97436
023b07fa-1276-4d30-ab2e-b58b5c0c3318,Returned,Amazon Pay,Europe,Jason Nelson,2023-06-24,1,1,381.84132,7.23,10,381.84132
0240d371-4258-4170-9940-bdd46fa11527,Pending,PayPal,North America,Jason Nelson,2024-08-13,1,1,507.626028,1.72,9,507.626028
0246f64d-ec5f-4984-b038-72311d66ffbb,Pending,Amazon Pay,North America,Diane Andrews,2023-06-22,1,1,86.13864000000001,9.28,1,86.13864000000001
0277f7eb-3e66-475f-a7ea-b1696511e83e,Returned,Credit Card,South America,Joseph Brooks,2020-01-18,1,1,563.10864,1.52,5,563.10864
0283e5a2-4c1d-4ad2-9f33-c8dfe9d8fb8e,Cancelled,PayPal,Europe,Emily Matthews,2024-08-27,1,1,76.37865400000001,23.33,1,76.37865400000001
